region_id,file,start_datetime,stop_datetime,genotype
13,Monitor18.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,1403 GD
14,Monitor18.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,1403 GD
15,Monitor18.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,1403 GD
16,Monitor18.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,1403 GD
17,Monitor18.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,1403 GD
18,Monitor18.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,1403 GD
19,Monitor18.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,1403 GD
20,Monitor18.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,1403 GD
21,Monitor18.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,1403 GD
22,Monitor18.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,1403 GD
23,Monitor18.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,1403 GD
24,Monitor18.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,1403 GD
25,Monitor18.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,1403 GD
26,Monitor18.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,1403 GD
27,Monitor18.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,1403 GD
28,Monitor18.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,1403 GD
29,Monitor18.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,1403 GD
30,Monitor18.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,1403 GD
31,Monitor18.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,1403 GD
32,Monitor18.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,1403 GD
