"","file","start_datetime","stop_datetime","region_id","sex","genotype"
"59","DAM_20190617/Monitor23.txt","2019-06-17 08:00:00","2019-06-20",27,"F","R19G02-gal4 X uas-dtrpa1 (x) "
"60","DAM_20190617/Monitor23.txt","2019-06-17 08:00:00","2019-06-20",28,"F","R19G02-gal4 X uas-dtrpa1 (x) "
"61","DAM_20190617/Monitor23.txt","2019-06-17 08:00:00","2019-06-20",29,"F","R19G02-gal4 X uas-dtrpa1 (x) "
"62","DAM_20190617/Monitor23.txt","2019-06-17 08:00:00","2019-06-20",30,"F","R19G02-gal4 X uas-dtrpa1 (x) "
"63","DAM_20190617/Monitor23.txt","2019-06-17 08:00:00","2019-06-20",31,"F","R19G02-gal4 X uas-dtrpa1 (x) "
"64","DAM_20190617/Monitor23.txt","2019-06-17 08:00:00","2019-06-20",32,"F","R19G02-gal4 X uas-dtrpa1 (x) "
"65","DAM_20190617/Monitor24.txt","2019-06-17 08:00:00","2019-06-20",1,"M","R19G02-gal4 X uas-dtrpa1 (x) "
"66","DAM_20190617/Monitor24.txt","2019-06-17 08:00:00","2019-06-20",2,"M","R19G02-gal4 X uas-dtrpa1 (x) "
"67","DAM_20190617/Monitor24.txt","2019-06-17 08:00:00","2019-06-20",3,"M","R19G02-gal4 X uas-dtrpa1 (x) "
"68","DAM_20190617/Monitor24.txt","2019-06-17 08:00:00","2019-06-20",4,"M","R19G02-gal4 X uas-dtrpa1 (x) "
"69","DAM_20190617/Monitor24.txt","2019-06-17 08:00:00","2019-06-20",5,"M","R19G02-gal4 X uas-dtrpa1 (x) "
"70","DAM_20190617/Monitor24.txt","2019-06-17 08:00:00","2019-06-20",6,"M","R19G02-gal4 X uas-dtrpa1 (x) "
"71","DAM_20190617/Monitor24.txt","2019-06-17 08:00:00","2019-06-20",7,"M","R19G02-gal4 X uas-dtrpa1 (x) "
"72","DAM_20190617/Monitor24.txt","2019-06-17 08:00:00","2019-06-20",8,"M","R19G02-gal4 X uas-dtrpa1 (x) "
"73","DAM_20190617/Monitor24.txt","2019-06-17 08:00:00","2019-06-20",9,"M","R19G02-gal4 X uas-dtrpa1 (x) "
"74","DAM_20190617/Monitor24.txt","2019-06-17 08:00:00","2019-06-20",10,"M","R19G02-gal4 X uas-dtrpa1 (x) "
"75","DAM_20190617/Monitor24.txt","2019-06-17 08:00:00","2019-06-20",11,"M","R19G02-gal4 X uas-dtrpa1 (x) "
"76","DAM_20190617/Monitor24.txt","2019-06-17 08:00:00","2019-06-20",12,"M","R19G02-gal4 X uas-dtrpa1 (x) "
"77","DAM_20190617/Monitor24.txt","2019-06-17 08:00:00","2019-06-20",13,"M","R19G02-gal4 X uas-dtrpa1 (x) "
"78","DAM_20190617/Monitor24.txt","2019-06-17 08:00:00","2019-06-20",14,"M","R19G02-gal4 X uas-dtrpa1 (x) "
"79","DAM_20190617/Monitor24.txt","2019-06-17 08:00:00","2019-06-20",15,"M","R19G02-gal4 X uas-dtrpa1 (x) "
"80","DAM_20190617/Monitor24.txt","2019-06-17 08:00:00","2019-06-20",16,"M","R19G02-gal4 X uas-dtrpa1 (x) "
"81","DAM_20190617/Monitor24.txt","2019-06-17 08:00:00","2019-06-20",17,"M","R19G02-gal4 X uas-dtrpa1 (x) "
"82","DAM_20190617/Monitor24.txt","2019-06-17 08:00:00","2019-06-20",18,"M","R19G02-gal4 X uas-dtrpa1 (x) "
"83","DAM_20190617/Monitor24.txt","2019-06-17 08:00:00","2019-06-20",19,"M","R19G02-gal4 X uas-dtrpa1 (x) "
"84","DAM_20190617/Monitor24.txt","2019-06-17 08:00:00","2019-06-20",20,"M","R19G02-gal4 X uas-dtrpa1 (x) "
"85","DAM_20190617/Monitor24.txt","2019-06-17 08:00:00","2019-06-20",21,"M","R19G02-gal4 X uas-dtrpa1 (x) "
"86","DAM_20190617/Monitor24.txt","2019-06-17 08:00:00","2019-06-20",22,"M","R19G02-gal4 X uas-dtrpa1 (x) "
"87","DAM_20190617/Monitor24.txt","2019-06-17 08:00:00","2019-06-20",23,"M","R19G02-gal4 X uas-dtrpa1 (x) "
"88","DAM_20190617/Monitor24.txt","2019-06-17 08:00:00","2019-06-20",24,"M","R19G02-gal4 X uas-dtrpa1 (x) "
